Public Health District,County,Cases,Deaths,Date
Panhandle Health District,Bonner,1,0,3.31.20
Panhandle Health District,Kootenai,30,0,3.31.20
Public Health - Idaho North Central District,Idaho,1,0,3.31.20
Public Health - Idaho North Central District,Nez Perce,9,2,3.31.20
Southwest District Health,Adams,1,0,3.31.20
Southwest District Health,Canyon,53,1,3.31.20
Southwest District Health,Gem,3,0,3.31.20
Southwest District Health,Owyhee,1,0,3.31.20
Southwest District Health,Payette,1,0,3.31.20
Central District Health,Ada,195,3,3.31.20
Central District Health,Elmore,3,0,3.31.20
Central District Health,Valley,2,0,3.31.20
South Central Public Health District,Blaine,192,2,3.31.20
South Central Public Health District,Camas,1,0,3.31.20
South Central Public Health District,Cassia,1,1,3.31.20
South Central Public Health District,Jerome,2,0,3.31.20
South Central Public Health District,Lincoln,2,0,3.31.20
South Central Public Health District,Minidoka,1,0,3.31.20
South Central Public Health District,Twin Falls,6,0,3.31.20
Southeastern Idaho Public Health,Bannock,4,0,3.31.20
Southeastern Idaho Public Health,Bingham,2,0,3.31.20
Eastern Idaho Public Health,Bonneville,2,0,3.31.20
Eastern Idaho Public Health,Custer,2,0,3.31.20
Eastern Idaho Public Health,Fremont,1,0,3.31.20
Eastern Idaho Public Health,Jefferson,3,0,3.31.20
Eastern Idaho Public Health,Madison,4,0,3.31.20
Eastern Idaho Public Health,Teton,2,0,3.31.20
,TOTAL,525,9,3.31.20
