County,Confirmed,Probable,Deaths,Date,HEALTH_DISTRICT
Ada,615,35,15,4/26/20,Central District Health
Adams,3,0,0,4/26/20,Southwest District Health
Bannock,5,3,0,4/26/20,Southeastern Idaho Public Health
Bear Lake,0,0,0,4/26/20,Southeastern Idaho Public Health
Benewah,0,0,0,4/26/20,Panhandle Health District
Bingham,3,0,0,4/26/20,Southeastern Idaho Public Health
Blaine,483,9,5,4/26/20,South Central Public Health District
Boise,0,0,0,4/26/20,Central District Health
Bonner,4,0,0,4/26/20,Panhandle Health District
Bonneville,16,12,0,4/26/20,Eastern Idaho Public Health
Boundary,0,0,0,4/26/20,Panhandle Health District
Butte,0,0,0,4/26/20,Southeastern Idaho Public Health
Camas,1,0,0,4/26/20,South Central Public Health District
Canyon,221,12,6,4/26/20,Southwest District Health
Caribou,1,0,0,4/26/20,Southeastern Idaho Public Health
Cassia,12,0,1,4/26/20,South Central Public Health District
Clark,0,0,0,4/26/20,Eastern Idaho Public Health
Clearwater,0,0,0,4/26/20,Public Health - Idaho North Central District
Custer,2,0,0,4/26/20,Eastern Idaho Public Health
Elmore,27,2,2,4/26/20,Central District Health
Franklin,0,0,0,4/26/20,Southeastern Idaho Public Health
Fremont,2,0,0,4/26/20,Eastern Idaho Public Health
Gem,10,2,0,4/26/20,Southwest District Health
Gooding,8,1,0,4/26/20,South Central Public Health District
Idaho,3,0,0,4/26/20,Public Health - Idaho North Central District
Jefferson,4,1,0,4/26/20,Eastern Idaho Public Health
Jerome,37,9,2,4/26/20,South Central Public Health District
Kootenai,60,1,0,4/26/20,Panhandle Health District
Latah,4,0,0,4/26/20,Public Health - Idaho North Central District
Lemhi,1,0,0,4/26/20,Eastern Idaho Public Health
Lewis,0,0,0,4/26/20,Public Health - Idaho North Central District
Lincoln,21,1,0,4/26/20,South Central Public Health District
Madison,5,3,0,4/26/20,Eastern Idaho Public Health
Minidoka,7,3,0,4/26/20,South Central Public Health District
Nez Perce,49,9,13,4/26/20,Public Health - Idaho North Central District
Oneida,0,0,0,4/26/20,Southeastern Idaho Public Health
Owyhee,8,0,0,4/26/20,Southwest District Health
Payette,11,2,1,4/26/20,Southwest District Health
Power,2,0,0,4/26/20,Southeastern Idaho Public Health
Shoshone,0,0,0,4/26/20,Panhandle Health District
Teton,7,1,0,4/26/20,Eastern Idaho Public Health
Twin Falls,133,23,11,4/26/20,South Central Public Health District
Valley,2,0,0,4/26/20,Central District Health
Washington,1,0,0,4/26/20,Southwest District Health
