County,Confirmed ,Probable,Cases,Case Rate*,Deaths,Date
Ada,727,53,780,166,22,5/18/20
Adams,3,,3,70.6,,5/18/20
Bannock,12,4,16,18.4,,5/18/20
Bear Lake,,,0,,,5/18/20
Benewah,,,0,,,5/18/20
Bingham,6,,6,13,,5/18/20
Blaine,497,11,508,"2,247.70",5,5/18/20
Boise,,,0,,,5/18/20
Bonner,4,,4,8.9,,5/18/20
Bonneville,18,15,33,28.2,,5/18/20
Boundary,,,0,,,5/18/20
Butte,,,0,,,5/18/20
Camas,1,,1,88.7,,5/18/20
Canyon,256,20,276,123.5,6,5/18/20
Caribou,1,,1,14.2,,5/18/20
Cassia,18,1,19,79.6,1,5/18/20
Clark,,,0,,,5/18/20
Clearwater,,,0,,,5/18/20
Custer,2,,2,46.7,,5/18/20
Elmore,30,1,31,113.7,2,5/18/20
Franklin,,,0,,,5/18/20
Fremont,2,1,3,22.8,,5/18/20
Gem,12,4,16,90.7,,5/18/20
Gooding,21,5,26,171.1,,5/18/20
Idaho,3,,3,18.2,,5/18/20
Jefferson,5,2,7,23.8,,5/18/20
Jerome,86,16,102,424.7,2,5/18/20
Kootenai,66,,66,40.9,,5/18/20
Latah,5,1,6,14.9,,5/18/20
Lemhi,1,,1,12.6,,5/18/20
Lewis,,,0,,,5/18/20
Lincoln,27,2,29,541,,5/18/20
Madison,12,7,19,48.3,,5/18/20
Minidoka,12,3,15,72,,5/18/20
Nez Perce,70,9,79,195.5,19,5/18/20
Oneida,,,0,,,5/18/20
Owyhee,8,,8,68.4,,5/18/20
Payette,18,4,22,93.4,2,5/18/20
Power,3,,3,38.6,,5/18/20
Shoshone,,,0,,,5/18/20
Teton,10,1,11,94.5,,5/18/20
Twin Falls,266,60,326,378.7,15,5/18/20
Valley,2,,2,18.1,,5/18/20
Washington,28,2,30,295.2,,5/18/20
