County,Confirmed,Probable,Total,Case Rate*,Deaths,Date
Ada,741,53,794,168.9,23,5/22/20
Adams,3,,3,70.6,,5/22/20
Bannock,13,4,17,19.5,,5/22/20
Bear Lake,,,0,,,5/22/20
Benewah,,,0,,,5/22/20
Bingham,6,,6,13,,5/22/20
Blaine,499,11,510,"2,256.50",5,5/22/20
Boise,,,0,,,5/22/20
Bonner,4,,4,8.9,,5/22/20
Bonneville,18,14,32,27.4,,5/22/20
Boundary,,,0,,,5/22/20
Butte,,,0,,,5/22/20
Camas,1,,1,88.7,,5/22/20
Canyon,264,20,284,127.1,6,5/22/20
Caribou,1,,1,14.2,,5/22/20
Cassia,21,1,22,92.2,1,5/22/20
Clark,,,0,,,5/22/20
Clearwater,,,0,,,5/22/20
Custer,2,,2,46.7,,5/22/20
Elmore,30,1,31,113.7,2,5/22/20
Franklin,,,0,,,5/22/20
Fremont,2,1,3,22.8,,5/22/20
Gem,13,4,17,96.4,,5/22/20
Gooding,29,6,35,230.3,,5/22/20
Idaho,3,,3,18.2,,5/22/20
Jefferson,5,2,7,23.8,,5/22/20
Jerome,113,24,137,570.5,2,5/22/20
Kootenai,66,,66,40.9,,5/22/20
Latah,6,1,7,17.4,,5/22/20
Lemhi,1,,1,12.6,,5/22/20
Lewis,,,0,,,5/22/20
Lincoln,28,2,30,559.7,,5/22/20
Madison,12,8,20,50.9,,5/22/20
Minidoka,22,4,26,124.8,,5/22/20
Nez Perce,72,9,81,200.5,19,5/22/20
Oneida,,,0,,,5/22/20
Owyhee,8,,8,68.4,,5/22/20
Payette,19,4,23,97.7,2,5/22/20
Power,3,,3,38.6,,5/22/20
Shoshone,,,0,,,5/22/20
Teton,10,1,11,94.5,,5/22/20
Twin Falls,308,66,374,434.5,19,5/22/20
Valley,2,,2,18.1,,5/22/20
Washington,31,3,34,334.6,,5/22/20
