County,Confirmed ,Probable,Cases,Case Rate*,Deaths
Ada,756,56,812,172.8,22
Adams,3,,3,70.6,
Bannock,24,4,28,32.1,
Bear Lake,,,0,,
Benewah,8,,8,86.7,
Bingham,6,,6,13,
Blaine,501,11,512,"2,265.40",5
Boise,,,0,,
Bonner,6,,6,13.4,
Bonneville,26,21,47,40.2,
Boundary,,,0,,
Butte,,,0,,
Camas,1,,1,88.7,
Canyon,279,24,303,135.6,6
Caribou,1,,1,14.2,
Cassia,61,2,63,264,1
Clark,,,0,,
Clearwater,,,0,,
Custer,2,,2,46.7,
Elmore,30,1,31,113.7,2
Franklin,2,,2,,
Fremont,2,1,3,22.8,
Gem,13,4,17,96.4,
Gooding,40,7,47,309.3,
Idaho,3,,3,18.2,
Jefferson,5,2,7,23.8,
Jerome,144,25,169,703.7,2
Kootenai,68,,68,42.1,
Latah,6,1,7,17.4,
Lemhi,1,,1,12.6,
Lewis,,,0,,
Lincoln,30,3,33,615.7,
Madison,13,8,21,53.4,
Minidoka,45,5,50,240.1,
Nez Perce,73,9,82,202.9,19
Oneida,,,0,,
Owyhee,8,,8,68.4,
Payette,19,4,23,97.7,2
Power,5,,5,64.4,
Shoshone,,,0,,
Teton,10,1,11,94.5,
Twin Falls,349,70,419,486.8,23
Valley,2,,2,18.1,
Washington,36,2,38,374,
