County,Confirmed,Probable,Cases,Case Rate*,Deaths
Ada,811,66,877,186.6,22
Adams,4,,4,94.1,
Bannock,54,5,59,67.7,1
Bear Lake,,,0,,
Benewah,19,,19,205.9,
Bingham,23,,23,49.7,
Blaine,504,11,515,"2,278.70",5
Boise,,,0,,
Bonner,7,,7,15.7,
Bonneville,50,23,73,62.5,
Boundary,,,0,,
Butte,,,0,,
Camas,1,,1,88.7,
Canyon,327,29,356,159.3,6
Caribou,3,,3,42.5,
Cassia,115,16,131,548.9,1
Clark,,,0,,
Clearwater,,,0,,
Custer,2,,2,46.7,
Elmore,33,1,34,124.7,2
Franklin,11,1,12,,
Fremont,3,1,4,30.4,
Gem,13,4,17,96.4,
Gooding,48,10,58,381.7,
Idaho,3,,3,18.2,
Jefferson,8,2,10,34,
Jerome,176,29,205,853.6,3
Kootenai,98,,98,60.7,
Latah,6,1,7,17.4,
Lemhi,1,,1,12.6,
Lewis,,,0,,
Lincoln,31,4,35,653,
Madison,19,10,29,73.8,
Minidoka,84,14,98,470.6,
Nez Perce,75,9,84,207.9,19
Oneida,,,0,,
Owyhee,8,,8,68.4,
Payette,23,4,27,114.6,2
Power,7,2,9,115.9,
Shoshone,,,0,,
Teton,10,1,11,94.5,
Twin Falls,398,82,480,557.6,26
Valley,3,,3,27.2,
Washington,45,5,50,492.1,
