County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,880,67,947,201.5,22,6/16/20
Adams,8,,8,188.2,,6/16/20
Bannock,62,5,67,76.9,1,6/16/20
Bear Lake,,,0,,,6/16/20
Benewah,19,,19,205.9,,6/16/20
Bingham,26,,26,56.2,,6/16/20
Blaine,504,11,515,"2,278.70",5,6/16/20
Boise,,,0,,,6/16/20
Bonner,7,,7,15.7,,6/16/20
Bonneville,57,30,87,74.5,1,6/16/20
Boundary,,,0,,,6/16/20
Butte,,,0,,,6/16/20
Camas,1,,1,88.7,,6/16/20
Canyon,338,29,367,164.2,6,6/16/20
Caribou,5,1,6,85,,6/16/20
Cassia,129,20,149,624.4,1,6/16/20
Clark,,,0,,,6/16/20
Clearwater,,,0,,,6/16/20
Custer,2,,2,46.7,,6/16/20
Elmore,36,1,37,135.7,2,6/16/20
Franklin,15,2,17,,,6/16/20
Fremont,3,1,4,30.4,,6/16/20
Gem,13,4,17,96.4,,6/16/20
Gooding,50,10,60,394.8,1,6/16/20
Idaho,3,,3,18.2,,6/16/20
Jefferson,8,3,11,37.4,,6/16/20
Jerome,183,28,211,878.6,3,6/16/20
Kootenai,104,,104,64.4,,6/16/20
Latah,7,1,8,19.9,,6/16/20
Lemhi,2,,2,25.1,,6/16/20
Lewis,,,0,,,6/16/20
Lincoln,31,4,35,653,,6/16/20
Madison,19,10,29,73.8,,6/16/20
Minidoka,89,14,103,494.6,,6/16/20
Nez Perce,75,9,84,207.9,19,6/16/20
Oneida,,,0,,,6/16/20
Owyhee,10,,10,85.5,,6/16/20
Payette,26,4,30,127.4,2,6/16/20
Power,7,2,9,115.9,,6/16/20
Shoshone,,,0,,,6/16/20
Teton,10,1,11,94.5,,6/16/20
Twin Falls,409,80,489,568.1,25,6/16/20
Valley,3,,3,27.2,,6/16/20
Washington,56,6,62,610.2,,6/16/20
