County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,"1,010",90,"1,100",234.1,22,6/19/20
Adams,8,1,9,211.8,,6/19/20
Bannock,70,7,77,88.4,1,6/19/20
Bear Lake,,,0,,,6/19/20
Benewah,21,,21,227.6,,6/19/20
Bingham,27,,27,58.4,,6/19/20
Blaine,507,11,518,"2,291.90",5,6/19/20
Boise,,,0,,,6/19/20
Bonner,11,,11,24.6,,6/19/20
Bonneville,60,31,91,77.9,1,6/19/20
Boundary,,,0,,,6/19/20
Butte,,,0,,,6/19/20
Camas,1,,1,88.7,,6/19/20
Canyon,370,33,403,180.3,6,6/19/20
Caribou,7,1,8,113.3,,6/19/20
Cassia,141,22,163,683,1,6/19/20
Clark,,,0,,,6/19/20
Clearwater,,,0,,,6/19/20
Custer,2,,2,46.7,,6/19/20
Elmore,37,1,38,139.4,2,6/19/20
Franklin,16,2,18,,,6/19/20
Fremont,3,1,4,30.4,,6/19/20
Gem,13,4,17,96.4,,6/19/20
Gooding,50,10,60,394.8,1,6/19/20
Idaho,3,,3,18.2,,6/19/20
Jefferson,9,2,11,37.4,,6/19/20
Jerome,185,31,216,899.4,3,6/19/20
Kootenai,115,,115,71.2,1,6/19/20
Latah,7,1,8,19.9,,6/19/20
Lemhi,2,,2,25.1,,6/19/20
Lewis,,,0,,,6/19/20
Lincoln,31,4,35,653,,6/19/20
Madison,20,10,30,76.3,,6/19/20
Minidoka,96,19,115,552.2,,6/19/20
Nez Perce,75,9,84,207.9,19,6/19/20
Oneida,,,0,,,6/19/20
Owyhee,12,10,22,188.1,,6/19/20
Payette,34,6,40,169.8,2,6/19/20
Power,12,2,14,180.2,,6/19/20
Shoshone,,,0,,,6/19/20
Teton,13,1,14,120.3,,6/19/20
Twin Falls,420,87,507,589,25,6/19/20
Valley,3,,3,27.2,,6/19/20
Washington,75,9,84,826.7,,6/19/20
