County	Confirmed	Probable	Cases	Case Rate*	Deaths	Date
Ada	"1,288"	95	"1,383"	294.3	22	6/23/20
Adams	9	1	10	235.3		6/23/20
Bannock	77	7	84	96.4	1	6/23/20
Bear Lake			0			6/23/20
Benewah	21		21	227.6		6/23/20
Bingham	30	2	32	69.2		6/23/20
Blaine	512	11	523	"2,314.10"	5	6/23/20
Boise			0			6/23/20
Bonner	15		15	33.5		6/23/20
Bonneville	64	32	96	82.2	1	6/23/20
Boundary			0			6/23/20
Butte			0			6/23/20
Camas	1		1	88.7		6/23/20
Canyon	435	59	494	221	6	6/23/20
Caribou	7	1	8	113.3		6/23/20
Cassia	154	24	178	745.9	1	6/23/20
Clark			0			6/23/20
Clearwater			0			6/23/20
Custer	2		2	46.7		6/23/20
Elmore	42	1	43	157.7	2	6/23/20
Franklin	18	2	20			6/23/20
Fremont	3	1	4	30.4		6/23/20
Gem	15	4	19	107.7		6/23/20
Gooding	51	10	61	401.4	1	6/23/20
Idaho	3		3	18.2		6/23/20
Jefferson	11	5	16	54.3		6/23/20
Jerome	194	33	227	945.2	3	6/23/20
Kootenai	133	1	134	83	1	6/23/20
Latah	8	1	9	22.4		6/23/20
Lemhi	2		2	25.1		6/23/20
Lewis			0			6/23/20
Lincoln	32	4	36	671.6		6/23/20
Madison	21	10	31	78.9		6/23/20
Minidoka	111	19	130	624.2		6/23/20
Nez Perce	78	12	90	222.7	19	6/23/20
Oneida			0			6/23/20
Owyhee	16	14	30	256.6		6/23/20
Payette	40	8	48	203.8	2	6/23/20
Power	14	2	16	206		6/23/20
Shoshone			0			6/23/20
Teton	13	1	14	120.3		6/23/20
Twin Falls	434	88	522	606.4	25	6/23/20
Valley	3		3	27.2		6/23/20
Washington	86	10	96	944.8		6/23/20
