County	Confirmed	Probable	Cases	Case Rate*	Deaths	Date
Ada	"2,035"	134	"2,169"	461.5	23	6/30/20
Adams	10	1	11	258.8		6/30/20
Bannock	89	13	102	117.1	1	6/30/20
Bear Lake	1		1	16.5		6/30/20
Benewah	21		21	227.6		6/30/20
Bingham	38	2	40	86.5		6/30/20
Blaine	523	12	535	"2,367.20"	5	6/30/20
Boise	4		4	52.4		6/30/20
Bonner	31	1	32	71.5		6/30/20
Bonneville	80	35	115	98.4	1	6/30/20
Boundary	1		1	8.4		6/30/20
Butte			0			6/30/20
Camas	1		1	88.7		6/30/20
Canyon	775	81	856	383	6	6/30/20
Caribou	10	1	11	155.8		6/30/20
Cassia	213	27	240	"1,005.70"	1	6/30/20
Clark			0			6/30/20
Clearwater	1		1	11.4		6/30/20
Custer	4		4	93.5		6/30/20
Elmore	58	2	60	220.1	2	6/30/20
Franklin	23	2	25			6/30/20
Fremont	6	1	7	53.2		6/30/20
Gem	22	4	26	147.4		6/30/20
Gooding	55	10	65	427.7	1	6/30/20
Idaho	4		4	24.2		6/30/20
Jefferson	13	5	18	61.1		6/30/20
Jerome	205	34	239	995.2	5	6/30/20
Kootenai	260	1	261	161.6	1	6/30/20
Latah	15	5	20	49.8		6/30/20
Lemhi	2		2	25.1		6/30/20
Lewis			0			6/30/20
Lincoln	32	4	36	671.6		6/30/20
Madison	24	11	35	89		6/30/20
Minidoka	160	25	185	888.4		6/30/20
Nez Perce	84	12	96	237.6	19	6/30/20
Oneida	2		2	44.6		6/30/20
Owyhee	29	12	41	350.6		6/30/20
Payette	82	20	102	433.1	2	6/30/20
Power	15	2	17	218.8		6/30/20
Shoshone			0			6/30/20
Teton	15	2	17	146		6/30/20
Twin Falls	505	94	599	695.9	25	6/30/20
Unknown		1	1			6/30/20
Valley	13		13	117.7		6/30/20
Washington	92	10	102	"1,003.80"		6/30/20
