County,Confirmed,Probable,Cases,Case Rate,Deaths,Date
Ada,"2,365",142,"2,507",533.4,23,7/3/20
Adams,10,1,11,258.8,,7/3/20
Bannock,97,15,112,128.5,1,7/3/20
Bear Lake,2,,2,33.1,,7/3/20
Benewah,21,,21,227.6,,7/3/20
Bingham,46,2,48,103.8,,7/3/20
Blaine,527,12,539,"2,384.90",5,7/3/20
Boise,4,,4,52.4,,7/3/20
Bonner,35,1,36,80.5,,7/3/20
Bonneville,84,37,121,103.5,1,7/3/20
Boundary,1,,1,8.4,,7/3/20
Butte,,,0,,,7/3/20
Camas,1,,1,88.7,,7/3/20
Canyon,"1,011",81,"1,092",488.6,6,7/3/20
Caribou,10,1,11,155.8,,7/3/20
Cassia,224,38,262,"1,097.90",1,7/3/20
Clark,,,0,,,7/3/20
Clearwater,2,,2,22.8,,7/3/20
Custer,4,,4,93.5,,7/3/20
Elmore,62,2,64,234.8,2,7/3/20
Franklin,24,2,26,,,7/3/20
Fremont,6,1,7,53.2,,7/3/20
Gem,29,5,34,192.8,,7/3/20
Gooding,56,10,66,434.3,1,7/3/20
Idaho,5,,5,30.3,,7/3/20
Jefferson,14,5,19,64.5,,7/3/20
Jerome,211,35,246,"1,024.40",5,7/3/20
Kootenai,355,2,357,221,1,7/3/20
Latah,20,5,25,62.3,,7/3/20
Lemhi,2,,2,25.1,,7/3/20
Lewis,,,0,,,7/3/20
Lincoln,32,4,36,671.6,,7/3/20
Madison,26,11,37,94.1,,7/3/20
Minidoka,176,25,201,965.2,,7/3/20
Nez Perce,86,12,98,242.5,19,7/3/20
Oneida,4,,4,89.1,,7/3/20
Owyhee,33,11,44,376.3,,7/3/20
Payette,100,22,122,518,2,7/3/20
Power,15,2,17,218.8,,7/3/20
Shoshone,1,,1,7.8,,7/3/20
Teton,20,2,22,189,,7/3/20
Twin Falls,559,97,656,762.1,25,7/3/20
Unknown,1,1,2,,,7/3/20
Valley,16,,16,144.9,,7/3/20
Washington,104,9,113,"1,112.10",1,7/3/20
