County,Public Health District,Confirmed ,Probable ,Cases,Cumulative Incidence Rate²,Daily 7-day Moving Average Incidence Rate³,Deaths
Ada,4,"10,201",729,"10,930","2,269.60",9.3,118
Adams,3,24,1,25,582.2,3.3,0
Bannock,6,571,27,598,681,4.9,2
Bear Lake,6,29,1,30,489.8,11.7,0
Benewah,1,109,0,109,"1,172.30",23.1,1
Bingham,6,419,13,432,922.9,9.5,5
Blaine,5,583,18,601,"2,610.70",5,6
Boise,4,48,12,60,766.2,5.5,1
Bonner,1,201,6,207,452.6,3.8,0
Bonneville,7,"1,341",306,"1,647","1,383.30",20,9
Boundary,1,43,0,43,351.2,1.2,1
Butte,6,7,0,7,269.5,16.5,0
Camas,5,2,1,3,271.2,12.9,0
Canyon,3,"6,606",398,"7,004","3,047.20",15.6,73
Caribou,6,36,3,39,545.1,8,0
Cassia,5,525,53,578,"2,405.30",4.8,3
Clark,7,15,3,18,"2,130.20",33.8,0
Clearwater,2,19,1,20,228.4,,0
Custer,7,25,2,27,625.7,33.1,0
Elmore,4,227,47,274,996,4.7,3
Franklin,6,49,6,55,396.4,1,0
Fremont,7,96,11,107,816.9,10.9,1
Gem,3,185,21,206,"1,137.40",0.8,2
Gooding,5,183,32,215,"1,416.40",19.8,1
Idaho,2,40,0,40,240,0.9,0
Jefferson,7,290,46,336,"1,124.80",20.1,1
Jerome,5,523,66,589,"2,412.70",19.9,6
Kootenai,1,"2,133",17,"2,150","1,297.50",7.9,29
Latah,2,214,11,225,561,16.4,0
Lemhi,7,51,18,69,859.6,12.5,0
Lewis,2,9,0,9,234.5,7.4,0
Lincoln,5,58,9,67,"1,248.60",10.7,0
Madison,7,189,40,229,573.8,7.9,0
Minidoka,5,510,37,547,"2,599.90",14.9,2
Nez Perce,2,252,22,274,678.1,16.3,19
Oneida,6,17,3,20,441.4,6.3,0
Owyhee,3,268,28,296,"2,503.60",6,5
Payette,3,544,84,628,"2,622.00",51.3,4
Power,6,103,2,105,"1,367.00",18.6,0
Shoshone,1,193,2,195,"1,513.70",13.3,12
Teton,7,105,17,122,"1,004.80",11.8,0
Twin Falls,5,"1,474",166,"1,640","1,887.70",9.4,34
Valley,4,77,3,80,702.2,3.8,1
Washington,3,245,18,263,"2,579.90",14,4
