County,Public Health District,Confirmed ,Probable ,Cases,Cumulative Incidence Rate²,Daily 7-day Moving Average Incidence Rate³,Deaths
Ada,4,"10,249",733,"10,982","2,280.40",10.1,124
Adams,3,24,1,25,582.2,3.3,0
Bannock,6,580,27,607,691.3,6,2
Bear Lake,6,29,1,30,489.8,11.7,0
Benewah,1,109,0,109,"1,172.30",21.5,1
Bingham,6,426,13,439,937.8,11.3,5
Blaine,5,583,18,601,"2,610.70",4.3,6
Boise,4,49,12,61,779,7.3,1
Bonner,1,204,7,211,461.3,5,0
Bonneville,7,"1,384",313,"1,697","1,425.30",21.2,9
Boundary,1,43,0,43,351.2,1.2,1
Butte,6,10,0,10,385.1,33,0
Camas,5,3,1,4,361.7,25.8,0
Canyon,3,"6,654",397,"7,051","3,067.70",15.9,74
Caribou,6,36,3,39,545.1,8,0
Cassia,5,527,53,580,"2,413.60",5.9,4
Clark,7,15,3,18,"2,130.20",33.8,0
Clearwater,2,20,1,21,239.8,1.6,0
Custer,7,28,3,31,718.4,46.4,0
Elmore,4,227,47,274,996,4.7,3
Franklin,6,50,6,56,403.6,2.1,0
Fremont,7,97,11,108,824.5,12,1
Gem,3,186,22,208,"1,148.40",2.4,2
Gooding,5,187,32,219,"1,442.80",21.7,1
Idaho,2,40,0,40,240,0.9,0
Jefferson,7,292,46,338,"1,131.50",15.8,1
Jerome,5,528,64,592,"2,425.00",18.1,6
Kootenai,1,"2,146",18,"2,164","1,306.00",8.5,29
Latah,2,223,10,233,580.9,17.8,0
Lemhi,7,51,18,69,859.6,12.5,0
Lewis,2,9,0,9,234.5,3.7,0
Lincoln,5,57,9,66,"1,230.00",8,0
Madison,7,193,40,233,583.9,8.2,0
Minidoka,5,513,37,550,"2,614.20",17,2
Nez Perce,2,262,22,284,702.8,17.3,19
Oneida,6,18,3,21,463.5,9.5,0
Owyhee,3,269,28,297,"2,512.10",7.3,5
Payette,3,554,85,639,"2,667.90",51.9,4
Power,6,105,2,107,"1,393.00",13,0
Shoshone,1,193,2,195,"1,513.70",13.3,14
Teton,7,106,17,123,"1,013.00",9.4,0
Twin Falls,5,"1,481",169,"1,650","1,899.20",10.2,34
Valley,4,77,3,80,702.2,2.5,1
Washington,3,249,18,267,"2,619.20",14,4
