County,Confirmed,Probable,Cases,Cumulative,Daily 7-Day Moving Average Incidence Rate,Deaths
Ada,"11,068",912,"11,980","2,487.60",9.6,140
Adams,25,1,26,605.5,3.3,1
Bannock,721,38,759,864.4,12,4
Bear Lake,30,1,31,506.1,,0
Benewah,127,0,127,"1,365.90",9.2,2
Bingham,570,24,594,"1,268.90",18.3,10
Blaine,595,19,614,"2,667.10",4.3,6
Boise,52,13,65,830,5.5,1
Bonner,248,7,255,557.5,8.4,0
Bonneville,"1,827",403,"2,230","1,873.00",34.8,14
Boundary,46,0,46,375.7,1.2,1
Butte,26,0,26,"1,001.20",27.5,0
Camas,4,1,5,452.1,12.9,0
Canyon,"7,274",444,"7,718","3,357.90",12.4,93
Caribou,50,8,58,810.6,22,0
Cassia,546,53,599,"2,492.70",6.5,5
Clark,22,3,25,"2,958.60",50.7,0
Clearwater,25,2,27,308.4,1.6,0
Custer,47,7,54,"1,251.40",39.7,0
Elmore,252,60,312,"1,134.10",5.2,3
Franklin,58,6,64,461.2,3.1,0
Fremont,125,15,140,"1,068.80",16.4,3
Gem,239,26,265,"1,463.10",19.7,2
Gooding,215,39,254,"1,673.40",10.4,1
Idaho,68,0,68,408,16.3,0
Jefferson,360,62,422,"1,412.70",24.4,1
Jerome,606,83,689,"2,822.40",29.3,6
Kootenai,"2,354",21,"2,375","1,433.30",8.9,32
Latah,276,11,287,715.6,8.6,0
Lemhi,54,18,72,897,1.8,0
Lewis,12,0,12,312.7,11.2,0
Lincoln,66,17,83,"1,546.80",26.6,0
Madison,290,65,355,889.6,27.2,1
Minidoka,544,40,584,"2,775.80",8.8,7
Nez Perce,351,25,376,930.5,10.6,20
Oneida,19,3,22,485.5,,0
Owyhee,291,30,321,"2,715.00",9.7,5
Payette,684,89,773,"3,227.40",23.3,4
Power,145,6,151,"1,965.90",14.9,0
Shoshone,208,2,210,"1,630.20",6.7,17
Teton,123,17,140,"1,153.00",7.1,0
Twin Falls,"1,708",203,"1,911","2,199.60",18.8,35
Valley,80,6,86,754.9,1.3,1
Washington,298,22,320,"3,139.10",21,4
