County,Confirmed,Probable,Cases,Case Rate*,Deaths,Date
Ada,803,63,866,184.3,22,6/11/20
Adams,3,,3,70.6,,6/11/20
Bannock,53,6,59,67.7,1,6/11/20
Bear Lake,,,0,,,6/11/20
Benewah,19,,19,205.9,,6/11/20
Bingham,23,,23,49.7,,6/11/20
Blaine,504,11,515,"2,278.70",5,6/11/20
Boise,,,0,,,6/11/20
Bonner,7,,7,15.7,,6/11/20
Bonneville,47,22,69,59,,6/11/20
Boundary,,,0,,,6/11/20
Butte,,,0,,,6/11/20
Camas,1,,1,88.7,,6/11/20
Canyon,325,29,354,158.4,6,6/11/20
Caribou,3,,3,42.5,,6/11/20
Cassia,110,16,126,528,1,6/11/20
Clark,,,0,,,6/11/20
Clearwater,,,0,,,6/11/20
Custer,2,,2,46.7,,6/11/20
Elmore,33,1,34,124.7,2,6/11/20
Franklin,10,1,11,,,6/11/20
Fremont,3,1,4,30.4,,6/11/20
Gem,13,4,17,96.4,,6/11/20
Gooding,48,10,58,381.7,,6/11/20
Idaho,3,,3,18.2,,6/11/20
Jefferson,7,2,9,30.6,,6/11/20
Jerome,175,29,204,849.5,2,6/11/20
Kootenai,96,,96,59.4,,6/11/20
Latah,6,1,7,17.4,,6/11/20
Lemhi,1,,1,12.6,,6/11/20
Lewis,,,0,,,6/11/20
Lincoln,31,4,35,653,,6/11/20
Madison,18,10,28,71.2,,6/11/20
Minidoka,78,9,87,417.8,,6/11/20
Nez Perce,75,9,84,207.9,19,6/11/20
Oneida,,,0,,,6/11/20
Owyhee,8,,8,68.4,,6/11/20
Payette,23,4,27,114.6,2,6/11/20
Power,7,2,9,115.9,,6/11/20
Shoshone,,,0,,,6/11/20
Teton,10,1,11,94.5,,6/11/20
Twin Falls,392,78,470,546,26,6/11/20
Valley,3,,3,27.2,,6/11/20
Washington,44,5,49,482.2,,6/11/20
